ID,reviewed,tracker items,label,alternative term,FGED alternative term,IEDB alternative term,ISA alternative term,NIAID GSCID-BRC alternative term,definition,definition source,example of usage,editor note,curator note,term editor,has curation status,logical type,equivalent classes,parent classes,main processes (has_part)  order process using preceded by,evaluant (realizes some ('evaluant role' and (' role of' some X))),evaluant (realizes some ('evaluant role' and ('inheres in' some X))),evaluant (X and ('has role' some 'evaluant role')),analyte (realizes some ('analyte role' and ('role of' some X),analyte (realizes some ('analyte role' and ('inheres in' some X),device,input (has_specified_input),main input,outputs X   (has_specified_output some X),outputs Y   (some X and (is_about Y)),objective,comment,associated axioms
OBI:0001146,FALSE,,binding assay,,,,,,An assay with the objective to characterize the disposition of two or more material entities to form a complex.,"PERSON:Bjoern Peters, Randi Vita, Jason Greenbaum","Determination of KD value for an antibody binding a protein using a BIACORE assay. Using plate bound antigen in an ELISA to determine if a mixture of serum antibodies bind the antigen.nnThe following are NOT binding assays, as the desired output is not binding data: RNA microarray experiments to determine levels of gene expression. ChIP experiments to determine where in DNA a transcription factor binds. Using an IL-2 antibody on an ELISA plate to determine presence of IL-2 after stimulating a T cell culture. ",,,"PERSON:Bjoern Peters, Randi Vita, Jason Greenbaum",,subclass,assay and (has_specified_output some ('is about' some binding)),assay,,,,,,,,,,binding datum,,,,
OBI:0001158,FALSE,,age measurement assay,,,,,,"An assay that measures the duration of temporal interval of a process that is part of the life of the bearer, where the initial time point of the measured process is the beginning of some transitional state of the bearer such as birth or when planted.",OBI group,,"This assay measures time not developmental stage.  we recognize that development takes different time periods under different conditions such as media / temperature. For example, age measurement assay of fly age, the output likes 28 days but not mid-life of age at room temperature.",,PERSON: Alan Ruttenberg,metadata complete,subclass,,assay,,,,,,,,,,age measurement datum,,,,
OBI:0001170,FALSE,,reverse transcription polymerase chain reaction assay,,,,,,"an assay that evaluates the concentration of RNA in a sample in which an RNA strand is first reverse transcribed into its DNA complement (complementary DNA, or cDNA) using the enzyme reverse transcriptase, and the resulting cDNA is amplified using traditional or real-time PCR. ",GROUP: Penn Group,,,,"PERSON: Chris Stoeckert, Jie Zheng",metadata complete,subclass,,assay,reverse transcribed polymerase chain reaction,,,ribonucleic acid,,,,ribonucleic acid,RNA,information content entity,gene expression,,,
OBI:0001177,FALSE,,RNA sequencing,,,,,,RNA sequencing is a sequencing process which uses ribonucleic acid as input and results in a the creation of RNA sequence information artifact,Bjoern Peters,,BP 12/21:Created based on a request from Melanie,,Bjoern Peters,metadata complete,subclass,(has_specified_input some ('ribonucleic acid' and ('has role' some 'evaluant role'))) and (has_specified_output some ('information content entity' and ('is about' some 'primary structure of RNA molecule'))),sequencing assay,,,,ribonucleic acid,,,,ribonucleic acid,RNA,information content entity,primary structure of RNA molecule,,,
OBI:0001187,FALSE,,infectious agent detection assay,,,,,,"An assay in which the presence or amount of an infectious agent in an input material is detected in an evaluant
",,"Culturing a sputum sample on agar medium to detect bacterial growth; Stain slices of liver from a mouse to count presence of infectious centers. 
","2/22/2011, BP: This should probably be an analyte assay, but the logical definition of those is currently restricted to 'scattered molecular aggregates', which excludes using infectious agents as analytes. See below
(realizes some 
    ('evaluant role'
     and (role_of some material_entity)))
 and (realizes some 
    ('analyte role'
     and (role_of some 'infectious agent')))
 and (achieves_planned_objective some 'analyte measurement objective')",,"Bjoern Peters, Randi Vita, Jason Greenbaum",metadata complete,subclass,,assay,,,,,,,,,,,,,,
OBI:0001221,FALSE,,ChIP-chip by SNP array assay,,,,,,An assay where chromatin immunoprecipitation (ChIP) is used in combination with SNP microarray technology,EFO_0002764 ChIP-chip by SNP array,,,,Group: ArrayExpress production team,metadata complete,subclass,,ChIP-chip assay,,,,,,,SNP microarray,,,,,,,
OBI:0001235,FALSE,,transcription profiling by tiling array assay,,,,,,An assay in which the transcriptome of a biological sample is analysed using a tiling path array.,EFO_0002769 transcription profiling by tiling array,,,,Person: James Malone,metadata complete,subclass,,transcription profiling assay,,,,,ribonucleic acid,,tiling microarray,specimen and ('has part' some ribonucleic acid),RNA,measurement datum,gene expression,transcription profiling identification objective,,
OBI:0001247,FALSE,,genotyping by high throughput sequencing assay,,,,,,An assay in which high througput sequencer is used to detect polymorphisms in DNA samples,EFO_0002771: genotyping by high throughput sequencing,,,,Person: James Malone,metadata complete,subclass,,genotyping assay,,,,,,,DNA sequencer,,,,,,,
OBI:0001248,FALSE,,ChIP-chip assay,ChIP-on-chip assay,,,,,"an assay that aims to investigate the interactions between protein and DNA relying on chromatin immunoprecipitation ('ChIP') combined with microarray technology ('chip'). Specially, it allows the identification of protein binding sites on a genome-wide basis.",WEB: http://en.wikipedia.org/wiki/ChIP-on-chip,,,,Person: James Malone,metadata complete,subclass,,assay using chromatin immunoprecipitation,immunoprecipitation,,,,deoxyribonucleic acid,,DNA microarray,specimen and ('has part' some 'deoxyribonucleic acid') and ('has part' some 'protein complex'),DNA and protein complex,information content entity,"chromatin remodeling or regulation of molecular function, epigenetic or sequence-specific DNA binding or 'transcription factor binding site",protein and DNA interaction identification objective,,
OBI:0001266,FALSE,,DNA methylation profiling by high throughput sequencing assay,,,,,,An assay in which the methylation state of DNA is determined and is compared between samples using sequencing based technology,EFO_0002761 methylation profiling by high throughput sequencing,,,,"Group: ArrayExpress production team, James Malone, Helen Parkinson",metadata complete,subclass,,DNA methylation profiling assay,,,,,,,DNA sequencer,,,,,,,
OBI:0001271,FALSE,,RNA-seq assay,transcription profiling by high throughput sequencing,,,,,"An assay in which sequencing technology (e.g. Solexa/454) is used to generate RNA sequence, analyse the transcibed regions of the genome, and or to quantitate transcript abundance",EFO_0002770 transcription profiling by high throughput sequencing,,,"JZ: should be inferred as 'DNA sequencing'. Will check in the future.|an assay that uses high-throughput sequencing technologies to sequence cDNA in order to get information about a sample's RNA content. RNA-Seq provides researchers with efficient ways to measure transcriptome data experimentally, allowing them to get information such as how different alleles of a gene are expressed, detect post-transcriptional mutations or identify gene fusions.

WEB: http://en.wikipedia.org/wiki/RNA-Seq",PERSON: James Malone,metadata complete,subclass,,"transcription profiling assay, sequencing assay",,,,,ribonucleic acid,,DNA sequencer,specimen and ('has part' some ribonucleic acid),RNA,sequence data,gene expression,transcription profiling identification objective,,
OBI:0001274,FALSE,,genotyping by array assay,,,,,,An assay in which an array is used to detect polymorphisms in DNA samples,EFO_0002767: genotyping by array,,,,Group: ArrayExpress production team,metadata complete,subclass,,genotyping assay,,,,,,,DNA microarray,,,,,,,
OBI:0001282,FALSE,,translation profiling assay,,,,,,"An assay in which surface-bound, translationally competent ribosome complexes are used to generate a translation profile for mRNA, which mRNA may be a single molecular species, or a combination of species, including complex mixtures such as those found in the set of mRNAs isolated from a cell or tissue. One or more components of the surface-bound ribosome complex may be labeled at specific positions to permit analysis of multiple or single molecules for determination of ribosomal conformational changes and translation kinetics. Translation profiles are used as the basis for comparison of an mRNA or set of mRNA species. The translation profile can be used to determine such characteristics as kinetics of initiation, kinetic of elongation, identity of the polypeptide product, and the like. Analysis of translation profiles may be used to determine differential gene expression, optimization of mRNA sequences for expression, screening drug candidates for an effect on translation.",EFO_0001033 translation profiling,,,,PERSON: James Malone,metadata complete,subclass,,analyte assay,,,,,ribonucleic acid,,,,,,,molecular feature identification objective,,
OBI:0001304,FALSE,,RNAi profiling by array assay,,,,,,"An assay in which double stranded RNA is synthesized with a sequence complementary to a gene(s) of interest and introduced into a cell or organism, where it is recognized as exogenous genetic material and activates the RNAi pathway resulting in knockdown of the transcripts and providing a means to study downstream changes in gene expression.",EFO_0001030 RNAi profiling by array,,,,PERSON: James Malone,metadata complete,subclass,,analyte assay,,,,,ribonucleic acid,,DNA microarray,,,,,molecular feature identification objective,,
OBI:0001318,FALSE,,proteomic profiling by array assay,,,,,,"An assay that proteins in a sample are detected, quantified or otherwise analysed, e.g. antibody profiling using an array based technology",EFO_0002765 proteomic profiling by array,,,,Person: James Malone,metadata complete,subclass,,analyte assay,,,,,protein,,protein microarray,specimen and ('has part' some protein),protein,,,molecular feature identification objective,,
OBI:0001332,FALSE,,DNA methylation profiling by array assay,,,,,,An assay in which the methylation state of DNA is determined and is compared between samples using array technology,EFO_0002759 methylation profiling by array,,,,Person: James Malone,metadata complete,subclass,,DNA methylation profiling assay,,,,,,,DNA microarray,,,,,,,
OBI:0001335,FALSE,,microRNA profiling by array assay,,,,,,An assay in which a microRNA array is used to analyse the microRNA component of the transcriptome.,EFO_0000753 microRNA profiling by array,,,,PERSON: James Malone,metadata complete,subclass,,microRNA profiling assay,,,,,ribonucleic acid,,DNA microarray,specimen and ('has part' some ribonucleic acid),RNA,measured expression level,miRNA,transcription profiling identification objective,,
OBI:0001361,FALSE,,transcription profiling by RT-PCR assay,,,,,,An assay in which the transcriptome of a biological sample is analysed by reverse transcription PCR (RT-PCR),EFO_0002943: transcription profiling by RT-PCR,,,,Person: Anna Farne,metadata complete,subclass,,transcription profiling assay,reverse transcribed polymerase chain reaction,,,,ribonucleic acid,,PCR instrument,specimen and ('has part' some ribonucleic acid),RNA,measurement datum,gene expression,transcription profiling identification objective,,
OBI:0001393,FALSE,,comparative genomic hybridization by array assay,array CGH,,,,,An assay in which changes in DNA sequence copy number are analysed using a microarray. For example the analysis of LOH in tumor cells vs a non diseased sample or the comparison of clinical isolated of disease causing bacteria.,EFO_0000749: comparative genomic hybridization by array,,,,Person: James Malone,metadata complete,subclass,,genotyping assay,,,,,deoxyribonucleic acid,,DNA microarray,specimen and ('has part' some deoxyribonucleic acid),DNA,genotype information,,molecular feature identification objective,,
OBI:0001419,FALSE,,ChIP-chip by tiling array assay,,,,,,An assay where chromatin immunoprecipitation (ChIP) is used in combination with tiling  microarray technology,EFO_0002762 ChIP-chip by tiling array,,,,Group: ArrayExpress production team,metadata complete,subclass,,ChIP-chip assay,,,,,,,tiling microarray,,,,,,,
OBI:0001463,FALSE,,transcription profiling by array assay,RNA profiling by array assay,,,,,An assay in which  the transcriptome of a biological sample is analysed using array technology.,EFO_0002768: transcription profiling by array,,"JZ: add alternative term: 'RNA profiling by array assay' requested by ENCODE developer.
See tracker: https://sourceforge.net/p/obi/obi-terms/757/",,Person: James Malone,metadata complete,subclass,,transcription profiling assay,,,,,ribonucleic acid,,DNA microarray,specimen and ('has part' some ribonucleic acid),RNA,measurement datum,gene expression,transcription profiling identification objective,,
OBI:0001491,FALSE,,radioactivity detection binding assay,,,,,,binding assay that uses radioactivity detection as an indicator of binding,IEDB,,,,"PERSON:Bjoern Peters, Randi Vita",metadata complete,subclass,,binding assay,radioactivity detection,,,,,,,,,,,,,
OBI:0001499,FALSE,,fluorescence detection binding assay,,,,,,binding assay that uses fluorescence detection as an indicator of binding,IEDB,,,,"PERSON:Bjoern Peters, Randi Vita",metadata complete,subclass,,binding assay,radioactivity detection,,,,,,,,,,,,,
OBI:0001591,FALSE,,direct binding assay,,,,,,a binding assay that measures the formation or disassociation of a complex of 2 material entities directly without use of a competitve ligand.,IEDB,"Detecting the binding of a fluorescently labeled antibody to a peptide bound to the bottom of an ELISA plate, by incubating the antibody in the well, washing the plate, and detecing fluorescence which is a proxy for the presence of the bound antibody. 
",,,"PERSON:Bjoern Peters, Randi Vita",metadata complete,subclass,,binding assay,,,,,,,,,,,,,,
OBI:0001624,FALSE,,organism identification assay,,,,,Organism Detection Method,An assay that identifies the organism species in a specimen.,NIAID GSCID-BRC metadata working group,,,,"Person: Chris Stoeckert, Jie Zheng",metadata complete,subclass,assay and (achieves_planned_objective some 'organism identification objective'),assay,,,,,,,,specimen and ('has part' some organism),organism,information content entity,organism,organism identification objective,,
OBI:0001668,FALSE,,split-ubiquitin assay,,,,,,"is a kind of yeast 2 hybrid system which enables membrane soluble proteins to be screened.  two integral membrane proteins to be studied are fused to two different ubiquitin moieties: a C-terminal ubiquitin moiety (\""Cub\"", residues 35äóñ76) and an N-terminal ubiquitin moiety (\""Nub\"", residues 1äóñ34). These fused proteins are called the bait and prey, respectively. In addition to being fused to an integral membrane protein, the Cub moiety is also fused to a transcription factor (TF) that can be cleaved off by ubiquitin specific proteases. Upon baitäóñprey interaction, Nub and Cub-moieties assemble, reconstituting the split-ubiquitin. The reconstituted split-ubiquitin molecule is recognized by ubiquitin specific proteases, which cleave off the reporter protein, allowing it to induce the transcription of reporter genes.",adapted from wikipedia,"Split-ubiquitin two-hybrid assay to analyze protein-protein interactions at the endosome: application to Saccharomyces cerevisiae Bro1 interacting with ESCRT complexes, the Doa4 ubiquitin hydrolase, and the Rsp5 ubiquitin ligase.
Nikko E, Andrí© B.
Eukaryot Cell. 2007 Aug;6(8):1266-77. Epub 2007 May 18.
PMID: 17513562 ",,add regulatory region DNA binding;sequence-specific DNA binding;obo:GO:0000975;obo:GO:0043565;,PERSON:Philippe Rocca-Serra; Marcus Chibucos,ready for release,subclass,,binding assay,,,,,,,,genetically modified material,genetically modified material,data item,protein domain specific binding,protein and DNA interaction identification objective,,
OBI:0001669,FALSE,,far-Western blot,,,,,,"is a adaptation on the western blot assay to explore protein-protein interaction. The assay involves separating target proteins on an SDS-PAGE gel, blotting to a membrane, hybridization with a protein probe and visualization using a probe-directed antibody. ","adapted from ECO, PMID:18079728","Studying protein-protein interactions via blot overlay or Far Western blot.
Hall RA.
Methods Mol Biol. 2004;261:167-74. Review.
PMID: 15064457",,,PERSON:Philippe Rocca-Serra; Marcus Chibucos,ready for release,subclass,(assay and (has_specified_input some 'protein complex') and (has_specified_output some ('data item' and ('is about' some 'protein domain specific binding')))) and (achieves_planned_objective some 'assay objective'),binding assay,,,,,,,,protein complex,protein complex,data item,protein domain specific binding,,,
OBI:0001670,FALSE,,RNA protection assay,RPA; RNAse protection assay,,,,,"RPA is a technique to assess the presence and estimate abundance of transcript species by first creating an homo or heteroduplex by adding a specific, complementary sequence to the sequence of interest and then exposing the mixture of ribonuclease, which will degrade only single stranded molecules. A detection step will reveal if the sample contained a sequence of interest.",adapted from wikipedia + PMID:16491611,"Absolute concentrations of mRNA for type I and type VI collagen in the canine meniscus in normal and ACL-deficient knee joints obtained by RNase protection assay.
Wildey GM, Billetz AC, Matyas JR, Adams ME, McDevitt CA.
J Orthop Res. 2001 Jul;19(4):650-8.
PMID: 11518275",,,PERSON:Philippe Rocca-Serra; Marcus Chibucos,ready for release,subclass,,assay,,,,,,,,RNA extract,RNA,data item,gene expression,,,
OBI:0001671,FALSE,,electrophoretic mobility shift assay,"EMSA,gel shift assay, gel mobility shift assay, band shift assay, gel retardation assay",,,,,is an assay which aims to provide information about Protein-DNA or Protein-RNA interaction and which used gel electrophoresis and relies on the fact the molecular interactions will cause the heterodimer to be retarded on the gel when compared to controls corresponding to protein extract alone and protein extract + neutral nucleic acid.,PMID:6269071,"Electrophoretic mobility shift assay reveals a novel recognition sequence for Setaria italica NAC protein.
Puranik S, Kumar K, Srivastava PS, Prasad M.
Plant Signal Behav. 2011 Oct;6(10):1588-90. Epub 2011 Oct 1.
PMID: 21918373",,,PERSON:Philippe Rocca-Serra; Marcus Chibucos,ready for release,subclass,(assay and (has_specified_input some 'RNA extract') and (has_specified_output some ('data item' and ('is about' some 'sequence-specific DNA binding')))) and (achieves_planned_objective some 'assay objective'),binding assay,,,,,,,,RNA extract,RNA,data item,Sequence-specific DNA binding,,,
OBI:0001672,FALSE,,gene knock-down assay,,,,,,is an assay which transiently disrupts gene transcripts by expressing antisense RNA constructs or delivering RNA interfering molecules in cells.,PMID:17430206,,,,PERSON:Philippe Rocca-Serra; Marcus Chibucos,ready for release,subclass,(assay and (has_specified_input some 'cultured cell population') and (has_specified_output some ('data item' and ('is about' some molecular_function)))) and (achieves_planned_objective some 'assay objective'),assay,,,,,,,,cultured cell population,cell,data item,molecular function,,,
OBI:0001673,FALSE,,nano-cap analysis of gene expression,nano-CAGE,,,,,nano-CAGE is a type of CAGE developed to work from very low amount (nanogram scale) of mRNA samples,PMID: 20543846,"Linking promoters to functional transcripts in small samples with nanoCAGE and CAGEscan. 
PMID:20543846
",,,PERSON:Philippe Rocca-Serra; Marcus Chibucos,ready for release,subclass,,transcription profiling assay,,,,,,,,RNA extract,RNA,data item,gene expression,transcription profiling identification objective,,
OBI:0001674,FALSE,,cap analysis of gene expression,CAGE,,,,,"An assay which aims at monitoring RNA transcript abundances in biological samples by extracting 5' ends of capped transcripts, RTPCR and sequence those. Copy numbers of CAGE tags provide  a way of quantification and provide a measure of expression of the transcriptome ",PMID:14663149,"5' end-centered expression profiling using cap-analysis gene expression and next-generation sequencing.
Takahashi H, Lassmann T, Murata M, Carninci P.
Nat Protoc. 2012 Feb 23;7(3):542-61. doi: 10.1038/nprot.2012.005.
PMID: 22362160",,,PERSON:Philippe Rocca-Serra; Marcus Chibucos,ready for release,subclass,,"transcription profiling assay, sequencing assay","reverse transcribed polymerase chain reaction, DNA sequencing",,,,,,DNA sequencer,RNA extract,RNA,sequence data,gene expression,transcription profiling identification objective,,
OBI:0001679,FALSE,,yeast 2-hybrid,Y2H,,,,,"yeast 2 hybrid screen is an assay meant  to discover proteinäóñprotein interactions and proteinäóñDNA interactions by testing for physical interactions (such as binding) between two proteins or a single protein and a DNA molecule, respectively. The premise behind the test is the activation of downstream reporter gene(s) by the binding of a transcription factor onto an upstream activating sequence (UAS). For two-hybrid screening, the transcription factor is split into two separate fragments, called the binding domain (BD) and activating domain (AD). The BD is the domain responsible for binding to the UAS and the AD is the domain responsible for the activation of transcription.[1][2] The Y2H is thus a protein-fragment complementation assay.",adapted from wikipedia,"Strong FANCA/FANCG but weak FANCA/FANCC interaction in the yeast 2-hybrid system.
Reuter T, Herterich S, Bernhard O, Hoehn H, Gross HJ.
Blood. 2000 Jan 15;95(2):719-20.
PMID: 10627486",,add regulatory region DNA binding;GO:0043565;,PERSON:Philippe Rocca-Serra; Marcus Chibucos,ready for release,subclass,,binding assay,,,,,,,,genetically modified material,genetically modified material,data item,protein domain specific binding,protein and DNA interaction identification objective,,
OBI:0001680,FALSE,,Sos-recruitment assay,SRS,,,,,"is a kind of yeast 2 hybrid system where mammalian guanyl nucleotide exchange factor (GEF) Sos is recruited to the Saccharomyces cerevisiae plasma membrane harboring a temperature-sensitive Ras GEF, Cdc25-2, allowing growth at the nonpermissive temperature. Using the Sos recruitment system, interacting proteins for targeted domain can be detected.","adapted from the original publication by Aronheim et al, 1997. PMID: 9154808","The Sos-recruitment system as a tool to analyze cellular localization of plant proteins: membrane localization of Arabidopsis thaliana PEPINO/PASTICCINO2.
Schí_nhofer-Merl S, Torres-Ruiz RA.
Mol Genet Genomics. 2010 May;283(5):439-49. Epub 2010 Mar 19.
PMID: 20300944",,add regulatory region DNA binding;GO:0043565;,PERSON:Philippe Rocca-Serra; Marcus Chibucos,ready for release,subclass,,binding assay,,,,,,,,genetically modified material,genetically modified material,data item,protein domain specific binding,protein and DNA interaction identification objective,,
OBI:0001681,FALSE,,yeast one-hybrid,Y1H,,,,,The one-hybrid variation of this technique is designed to investigate proteinäóñDNA interactions and uses a single fusion protein in which the AD is linked directly to the binding domain.,PMID: 22218861,"Yeast one-hybrid assays for gene-centered human gene regulatory network mapping. Nat Methods. 2011 Oct 30;8(12):1050-2. doi: 10.1038/nmeth.1764.
PMID: 22037702 ",,add regulatory region DNA binding;obo:GO:0000975;,PERSON:Philippe Rocca-Serra; Marcus Chibucos,ready for release,subclass,(assay and (has_specified_input some 'genetically modified material') and (has_specified_output some ('data item' and ('is about' some 'sequence-specific DNA binding')))) and (achieves_planned_objective some 'assay objective'),binding assay,,,,,,,,genetically modified material,genetically modified material,data item,sequence-specific DNA binding,,,
OBI:0001682,FALSE,,bacterial one-hybrid,B1H,,,,," is a method for identifying the sequence-specific target site of a DNA-binding domain. In this system, a given transcription factor (TF) is expressed as a fusion to a subunit of RNA polymerase. In parallel, a library of randomized oligonucleotides representing potential TF target sequences, is cloned into a separate vector containing the selectable genes HIS3 and URA3. If the DNA-binding domain (bait) binds a potential DNA target site (prey) in vivo, it will recruit RNA polymerase to the promoter and activate transcription of the reporter genes in that clone. The two reporter genes, HIS3 and URA3, allow for positive and negative selections, respectively. At the end of the process, positive clones are sequenced and examined with motif-finding tools in order to resolve the favoured DNA target sequence",http://en.wikipedia.org/wiki/Bacterial_one-hybrid_system,"A systematic characterization of factors that regulate Drosophila segmentation via a bacterial one-hybrid system.
Noyes MB, Meng X, Wakabayashi A, Sinha S, Brodsky MH, Wolfe SA.
Nucleic Acids Res. 2008 May;36(8):2547-60. Epub 2008 Mar 10.
PMID: 18332042",,add regulatory region DNA binding;obo:GO:0000975;,PERSON:Philippe Rocca-Serra; Marcus Chibucos,ready for release,subclass,(assay and (has_specified_input some 'genetically modified material') and (has_specified_output some ('data item' and ('is about' some 'sequence-specific DNA binding')))) and (achieves_planned_objective some 'protein and DNA interaction identification objective'),yeast one-hybrid,,,,,,,,genetically modified material,genetically modified material,data item,sequence-specific DNA binding,protein and DNA interaction identification objective,,
OBI:0001683,FALSE,https://sourceforge.net/p/obi/obi-terms/815/,chromosome organization assay by fluorescence in-situ hybridization,FISH,,,,,is an in situ hybridization assay that uses fluorescence as means of detection chromosomal integrity,,Duplication of intrachromosomal insertion segments 4q32äÊÍq35 confirmed by comparative genomic hybridization and fluorescent in situ hybridization.PMID:22384449,Changed label from fluorescence in situ hybridization as per tracker item #788,,PERSON:Philippe Rocca-Serra; Marcus Chibucos,ready for release,subclass,('in-situ hybridization' and (has_specified_input some 'binding constant') and (has_specified_output some ('data item' and ('is about' some 'chromosome organization')))) and (achieves_planned_objective some 'biological feature identification objective'),in-situ hybridization,,,,,,,,binding constant,data item,data item,chromosome organization,biological feature identification objective,,
OBI:0001684,FALSE,,methylation-specific polymerase chain reaction,MSP,,,,,"is an assay which uses initial modification of DNA by sodium bisulfite, converting all unmethylated, but not methylated, cytosines to uracil, and subsequent amplification with primers specific for methylated versus unmethylated DNA.",PMID:8790415,Methylation status of breast cancer resistance protein detected by methylation-specific polymerase chain reaction analysis is correlated inversely with its expression in drug-resistant lung cancer cells. PMID: 18219662,"2015-03-30 OBI dev call:
The assay was defined as equvivalent to
(assay and (has_specified_input some 'binding complex 3D structure determination assay') and (has_specified_output some 
('data item' and ('is about' some 'regulation of DNA methylation')))) and (achieves_planned_objective some 'epigenetic modification identification objective')
 'binding complex 3D structure determination assay' is a process and cannot be the input of another process which cause inconsistent.
In the call, we decided to remove axiom and will discuss it in the assay harmonization discussion.
see tracker:
https://sourceforge.net/p/obi/obi-terms/747/

",,PERSON:Philippe Rocca-Serra; Marcus Chibucos,ready for release,subclass,,assay,,,,,,,,,,data item,regulation of DNA methylation,,,
OBI:0001685,FALSE,,amplification of intermethylated sites (AIMS) assay,"AIMS assay,intermethylated site amplification ",,,,,amplification of intermethylated sites (AIMS) is an assay appropriate for genome-wide estimates of DNA methylation and the discovery of specific methylated sequences. AIMS is based on the differential enzymatic digestion of genomic DNA with methylation-sensitive and methylation-insensitive isoschizomers followed by restrained PCR amplification of methylated sequences.,PMID: 18987810,Analysis of DNA methylation by amplification of intermethylated sites (AIMS).PMID:18987810,,,PERSON:Philippe Rocca-Serra; Marcus Chibucos,ready for release,subclass,(assay and (has_specified_input some 'high molecular weight DNA extract') and (has_specified_output some ('data item' and ('is about' some 'regulation of DNA methylation')))) and (achieves_planned_objective some 'epigenetic modification identification objective'),DNA methylation profiling assay,,,,,,,,high molecular weight DNA extract,DNA,data item,regulation of DNA methylation,epigenetic modification identification objective,,
OBI:0001686,FALSE,,in-situ hybridization,ISH,,,,,is an assay using artificially induced nucleic hybridization to localize a specific DNA or RNA sequence in a portion or section of tissue,PMID:9021518,"Use of in situ hybridization to examine gene expression in the embryonic, neonatal, and adult urogenital system.
PMID:22639265
",,,PERSON:Philippe Rocca-Serra; Marcus Chibucos,ready for release,subclass,(assay and (has_specified_input some 'labeled nucleic acid extract') and (has_specified_output some ('data item' and ('is about' some 'macromolecule localization')))) and (achieves_planned_objective some 'biological feature identification objective'),assay,,,,,,,,labeled nucleic acid extract,nucleic acid,data item,macromolecule localization,biological feature identification objective,,
OBI:0001689,FALSE,,cytochalasin-induced inhibition of actin polymerization assay,,,,,,is an assay which uses compound cytochalasin (CHEBI: 23528)  to block actin polymerization-dependent cell motility (GO:0070358) and actin filament polymerization (GO:0030041).,,,,add ;actin filament polymerization obo:GO:0070358;,PERSON:Philippe Rocca-Serra; Marcus Chibucos,ready for release,subclass,(assay and (has_specified_input some cytochalasin) and (has_specified_output some ('data item' and ('is about' some 'actin filament polymerization')))) and (achieves_planned_objective some 'biological feature identification objective'),assay,,,,,,,,cytochalasin,cytochalasin,data item,actin filament polymerization,biological feature identification objective,,
OBI:0001848,FALSE,,chromatin interaction analysis by paired-end tag sequencing,ChIA-PET|ChIA-PET assay,,,,,"An assay that incorporates chromatin immunoprecipitation (ChIP)-based enrichment, chromatin proximity ligation, Paired-End Tags, and high-throughput sequencing to determine de novo long-range chromatin interactions genome-wide.",http://en.wikipedia.org/wiki/ChIA-PET,"Zhang, et al. ChIA-PET analysis of transcriptional chromatin interactions. Methods. 2012 Nov;58(3):289-99. [PMID:22926262]",,,"Person: Venkat Malladi, Chris Stoeckert, Jie Zheng",metadata complete,subclass,,"assay using chromatin immunoprecipitation, sequencing assay","DNA sequencing, immunoprecipitation, cross linking, paired-end library preparation",,,protein complex,,,DNA sequencer,protein complex,protein complex,DNA sequence data,,protein and DNA interaction identification objective,,
OBI:0001849,FALSE,,structural analysis by paired-end tag sequencing,DNA-PET|DNA-PET assay,,,,,An assay that incorporates Paired-End Tags and sequencing technology to determine structural variants.,"Yao, et al. Long Span DNA Paired-End-Tag (DNA-PET) Sequencing Strategy for the Interrogation of Genomic Structural Mutations and Fusion-Point-Guided Reconstruction of Amplicons. PLoS One. 2012;7(9):e46152 [PMID:23029419]","Yao, et al. Long Span DNA Paired-End-Tag (DNA-PET) Sequencing Strategy for the Interrogation of Genomic Structural Mutations and Fusion-Point-Guided Reconstruction of Amplicons. PLoS One. 2012;7(9):e46152 [PMID:23029419]",,,"Person: Venkat Malladi, Chris Stoeckert, Jie Zheng",metadata complete,subclass,,DNA sequencing,,,,,,,,,,,,,,
OBI:0001850,FALSE,,transcript analysis by paired-end tag sequencing,RNA-PET assay|RNA-PET,,,,,"An assay that incorporates Paired-End Tags and sequencing technology to determine transcripts, gene structures, and gene expressions.","Ruan, et al. Genome wide full-length transcript analysis using 5' and 3' paired-end-tag next generation sequencing (RNA-PET). Methods Mol Biol. 2012;809:535-62. [PMID:22113299]","Ruan, et al. Genome wide full-length transcript analysis using 5' and 3' paired-end-tag next generation sequencing (RNA-PET). Methods Mol Biol. 2012;809:535-62. [PMID:22113299]",,,"Person: Venkat Malladi, Chris Stoeckert, Jie Zheng",metadata complete,subclass,,"transcription profiling assay, sequencing assay","RNA sequencing, paired-end library preparation",,,ribonucleic acid,,,DNA sequencer,ribonucleic acid,RNA,DNA sequence data,,transcription profiling identification objective,,
OBI:0001853,FALSE,,DNase I hypersensitive sites sequencing assay,DNase-seq|DNase-seq assay,,,,,"An assay to identify the location of regulatory regions, based on the genome-wide sequencing of regions super sensitive to cleavage by DNase I.",http://en.wikipedia.org/wiki/DNase-Seq,"Sabo, et al. Discovery of functional noncoding elements by digital analysis of chromatin structure. Proc Natl Acad Sci U S A. 2004 Nov 30;101(48):16837-42. [PMID:15550541]",,,"Person: Venkat Malladi, Chris Stoeckert, Jie Zheng",metadata complete,subclass,,DNA sequencing,"DNA sequencing, library preparation, non-specific enzymatic cleavage",,,deoxyribonucleic acid,,,DNA sequencer,deoxyribonucleic acid,DNA,DNA sequence data,,protein and DNA interaction identification objective,,
